ProviderID,INP_LOS_mean,INP_LOS_max,INP_LOS_min,INP_InscClaimAmtReimbursed_mean,INP_InscClaimAmtReimbursed_sum,INP_ClaimID_count,OUT_InscClaimAmtReimbursed_mean,OUT_InscClaimAmtReimbursed_sum,OUT_ClaimID_count,PotentialFraud
PRV51001,5.0,14.0,0.0,19400.0,97000.0,5.0,382.0,7640.0,20.0,No
PRV51003,5.161290322580645,27.0,1.0,9241.935483870968,573000.0,62.0,466.7142857142857,32670.0,70.0,Yes
PRV51004,0.0,0.0,0.0,0.0,0.0,0.0,350.13422818791946,52170.0,149.0,No
PRV51005,0.0,0.0,0.0,0.0,0.0,0.0,241.1244635193133,280910.0,1165.0,Yes
PRV51007,5.333333333333333,7.0,4.0,6333.333333333333,19000.0,3.0,213.18840579710144,14710.0,69.0,No
PRV51008,4.0,5.0,3.0,12500.0,25000.0,2.0,259.2682926829268,10630.0,41.0,No
PRV51011,5.0,5.0,5.0,5000.0,5000.0,1.0,204.03508771929825,11630.0,57.0,No
PRV51012,0.0,0.0,0.0,0.0,0.0,0.0,351.875,16890.0,48.0,No
PRV51013,0.0,0.0,0.0,0.0,0.0,0.0,323.4782608695652,14880.0,46.0,No
PRV51014,0.0,0.0,0.0,0.0,0.0,0.0,349.3333333333333,10480.0,30.0,No
PRV51015,0.0,0.0,0.0,0.0,0.0,0.0,87.5,700.0,8.0,No
PRV51016,0.0,0.0,0.0,0.0,0.0,0.0,28.333333333333332,170.0,6.0,No
PRV51017,0.0,0.0,0.0,0.0,0.0,0.0,277.126213592233,142720.0,515.0,No
PRV51021,4.758620689655173,17.0,1.0,9275.862068965518,269000.0,29.0,350.13157894736844,79830.0,228.0,Yes
PRV51023,3.5555555555555554,10.0,0.0,6000.0,54000.0,9.0,430.0,11610.0,27.0,No
PRV51024,4.333333333333333,10.0,1.0,6777.777777777777,61000.0,9.0,101.66666666666667,3050.0,30.0,No
PRV51025,7.0,28.0,1.0,6615.384615384615,86000.0,13.0,437.1621621621622,32350.0,74.0,No
PRV51026,0.0,0.0,0.0,0.0,0.0,0.0,261.05263157894734,19840.0,76.0,No
PRV51027,0.0,0.0,0.0,0.0,0.0,0.0,563.0188679245283,29840.0,53.0,No
PRV51029,0.0,0.0,0.0,0.0,0.0,0.0,329.6774193548387,30660.0,93.0,No
PRV51030,4.621951219512195,23.0,0.0,8604.878048780487,705600.0,82.0,383.82022471910113,34160.0,89.0,No
PRV51031,5.535714285714286,18.0,1.0,11750.0,329000.0,28.0,195.6687898089172,30720.0,157.0,No
PRV51032,0.0,0.0,0.0,0.0,0.0,0.0,235.65217391304347,5420.0,23.0,No
PRV51035,14.0,14.0,14.0,29000.0,29000.0,1.0,122.75862068965517,3560.0,29.0,No
PRV51036,0.0,0.0,0.0,0.0,0.0,0.0,269.3525179856115,74880.0,278.0,No
PRV51037,4.565217391304348,17.0,1.0,9304.347826086956,214000.0,23.0,297.51740139211137,128230.0,431.0,Yes
PRV51038,4.033333333333333,24.0,1.0,7653.333333333333,229600.0,30.0,323.3333333333333,35890.0,111.0,No
PRV51040,10.555555555555555,33.0,1.0,7000.0,63000.0,9.0,148.96103896103895,11470.0,77.0,No
